street,domain,qid,wikidata_label,sitelinks,km_from_ada_county,same_name_items,other_domains,verdict,notes,pass
South Carina Way,constellation,Q10470,Carina,86,,1,-,y,"Not 100% confident. Never heard of, would want proximity",1
North Iris Avenue,greek_deity,Q184570,Iris,60,,1,plant,q,nearby streets give confident answer,1
North Tumbler Drive,dog_breed,Q11316517,tumbler,2,,1,-,q,need proximity,1
West Garganey Drive,bird,Q28106902,Garganey,87,,3,-,y,,1
North Mink Creek Avenue,us_river,Q30628716,Mink Creek,2,3312,3,idaho_place,n,all in new york so none plausible. Must be invented,2
South Daisy Place,plant,Q745253,Daisy,45,,2,-,y,,1
South Blue Hill Lane,us_mountain,Q49014348,Blue Hill,1,244,30,-,n,Idaho place makes invented name unlikely | CORRECTED by AP: should not have accepted this.,2
North Wilson Street,us_president,Q34296,Woodrow Wilson,190,,1,idaho_place,y,"could be idaho place, but very unlikely",1
North Lake Placid Avenue,us_lake,Q1801051,Lake Placid,13,3349,3,-,y,,1
South Acheron Avenue,greek_deity,Q12626619,Acheron,2,,1,-,y,,1
South Pebble Lane,idaho_place,Q133430798,Pebble,0,353,1,-,n,very common word,1
West Harvard Street,idaho_place,Q5676233,Harvard,4,387,1,-,n,should obviously be the university,1
East Jamaica Court,country,Q766,Jamaica,281,4587,1,-,y,,1
South Weimaraner Way,dog_breed,Q38965,Weimaraner,35,,1,-,y,,1
South Sockeye Way,fish,Q2616519,Sockeye,15,,1,-,y,,1
North Cabarton Lane,idaho_place,Q122563638,Cabarton,0,111,1,-,y,,1
West Castle Drive,constellation,Q57654740,Castle,0,,1,-,n,Gamma-ray constellation seems too obscure to be etymology picked by developer. Year of construction would rule this out if considered,1
North Lusitano Avenue,horse_breed,Q937595,Lusitano,22,,1,-,y,,1
West Delaware Street,us_state,Q1393,Delaware,220,3408,1,grape_variety,y,,1
West Nabesna Street,us_ethnic_group,Q12637941,Nabesna,1,,1,-,y,,1
North Mountain Lake Avenue,us_lake,Q1950851,Mountain Lake,6,3073,4,-,n,very common name,1
North Coneflower Avenue,plant,Q5304671,coneflower,1,,1,-,y,,1
West Kingston Drive,fish,Q2236628,Kingston,20,,2,-,n,"definitely not fish, but nothing supports capital",2
East Borzoi Court,dog_breed,Q37866,Borzoi,43,,1,-,y,,1
North Hunter Creek Avenue,us_river,Q27986956,Hunter Creek,2,541,7,-,q,"common name, reranking does not help. There is a Hunter Creek in Idaho, but it seems unnotable",2
South Triumph Place,idaho_place,Q7844478,Triumph,4,162,1,grape_variety,q,nearby streets are no help,2
South Stibnite Avenue,idaho_place,Q122565131,Stibnite,0,176,1,-,y,"mineral name based on nearby streets | CORRECTED by AP: mining TOWN is right. Jumped to a conclusion from Cuprum. Cluster contains Bayhorse, Placerville, Oakley, Cuprum, Stibnite - all Idaho mining towns.",2
North James Street,grape_variety,Q112256118,James,1,,1,-,n,very common ,1
North Porgy Way,fish,Q143503,Porgy,39,,14,-,y,,1
West Clinton Lane,us_president,Q1124,Bill Clinton,223,,1,grape_variety,n,dates back to 1950s or earlier. Actual namesake probably not in wikidata,1
North Bamboo Avenue,plant,Q311331,bamboo,41,,2,-,q,I have no idea which Wikidata item is correct to use here,2
East Clear Creek Drive,us_river,Q5130667,Clear Creek,6,1020,27,-,y,,1
North Columbine Avenue,plant,Q147641,columbine,64,,2,-,y,,1
West Mountain Creek Street,ski_resort,Q6924907,Mountain Creek,2,3404,1,us_river,n,invented,1
East Lost Creek Drive,us_river,Q49951774,Lost Creek,1,338,14,-,y,must be the one in Idaho,2
South Canvasback Way,bird,Q378533,Canvasback,40,,1,-,y,,1
West Athens Court,grape_variety,Q139187092,Athens,0,,1,-,n,"definitely a city, but nearby streets needed to figure out which",1
West Cayuse Lane,horse_breed,Q5055481,Cayuse,6,,1,-,y,,1
East Echo Court,greek_deity,Q207368,Echo,46,,1,-,q,need proximity,1
West Daphne Street,greek_deity,Q194015,Daphne,53,,1,plant,y,,1
East Washington Avenue,us_state,Q1223,Washington,223,559,1,us_president,y,proximity would not solve this. No other state names or presidents nearby. President probably the default,1
West Wall Drive,constellation,Q1145933,Wall,11,,1,-,n,common word,1
North Alpha Lane,grape_variety,Q25395428,Alpha,1,,1,-,n,definitely not grape variety. Probably the greek letter,1
