street,domain,qid,wikidata_label,description,sitelinks,km_from_ada_county,same_name_items_in_domain,other_domains,via,url,verdict__y_n_w_q,notes
South Carina Way,constellation,Q10470,Carina,constellation in the southern celestial hemisphere,86,,1,-,full,https://www.wikidata.org/wiki/Q10470,y,"Not 100% confident. Never heard of, would want proximity"
North Iris Avenue,greek_deity,Q184570,Iris,the personification of the rainbow in ancient Greek religion and mythology,60,,1,plant,full,https://www.wikidata.org/wiki/Q184570,q,nearby streets give confident answer
North Tumbler Drive,dog_breed,Q11316517,tumbler,dog breed,2,,1,-,full,https://www.wikidata.org/wiki/Q11316517,q,need proximity
West Garganey Drive,bird,Q28106902,Garganey,species of bird,87,,3,-,full,https://www.wikidata.org/wiki/Q28106902,y,
North Mink Creek Avenue,us_river,Q30628716,Mink Creek,"river in Otsego County, New York, United States",2,3312,1,idaho_place,full,https://www.wikidata.org/wiki/Q30628716,q,could be Idaho place or coincidental invented name. Never heard of Idaho place before as a local
South Daisy Place,plant,Q745253,Daisy,Genus of plants in family Asteraceae,45,,2,-,full,https://www.wikidata.org/wiki/Q745253,y,
South Blue Hill Lane,us_mountain,Q34805740,Blue Hill,"mountain in Sullivan County, New York, United States of America",2,3371,1,-,full,https://www.wikidata.org/wiki/Q34805740,q,"likely coincidental. Can we invent heuristic that matches intuition for things like this? I think this reveals sitelinks don’t confer notability for all things. No matter what, human review would be needed here, so best thing we could output would be low confidence"
North Wilson Street,us_president,Q34296,Woodrow Wilson,28th President of the United States (1913–1921),190,,1,idaho_place,surname,https://www.wikidata.org/wiki/Q34296,y,"could be idaho place, but very unlikely"
North Lake Placid Avenue,us_lake,Q1801051,Lake Placid,lake in the United States of America,13,3349,3,-,full,https://www.wikidata.org/wiki/Q1801051,y,
South Acheron Avenue,greek_deity,Q12626619,Acheron,"god of river of underworld, Greek mythology",2,,1,-,full,https://www.wikidata.org/wiki/Q12626619,y,
South Pebble Lane,idaho_place,Q133430798,Pebble,"unincorporated community in Caribou County, Idaho, United States",0,353,1,-,full,https://www.wikidata.org/wiki/Q133430798,n,very common word
West Harvard Street,idaho_place,Q5676233,Harvard,"unincorporated community in Latah County, Idaho, United States",4,387,1,-,full,https://www.wikidata.org/wiki/Q5676233,n,should obviously be the university
East Jamaica Court,country,Q766,Jamaica,island state in the Caribbean Sea,281,4587,1,-,full,https://www.wikidata.org/wiki/Q766,y,
South Weimaraner Way,dog_breed,Q38965,Weimaraner,dog breed,35,,1,-,full,https://www.wikidata.org/wiki/Q38965,y,
South Sockeye Way,fish,Q2616519,Sockeye,species of fish,15,,1,-,full,https://www.wikidata.org/wiki/Q2616519,y,
North Cabarton Lane,idaho_place,Q122563638,Cabarton,"locality in Valley County, Idaho, United States",0,111,1,-,full,https://www.wikidata.org/wiki/Q122563638,y,
West Castle Drive,constellation,Q57654740,Castle,gamma-ray constellation,0,,1,-,full,https://www.wikidata.org/wiki/Q57654740,n,Gamma-ray constellation seems too obscure to be etymology picked by developer. Year of construction would rule this out if considered
North Lusitano Avenue,horse_breed,Q937595,Lusitano,horse breed,22,,1,-,full,https://www.wikidata.org/wiki/Q937595,y,
West Delaware Street,us_state,Q1393,Delaware,state of the United States of America,220,3408,1,grape_variety,full,https://www.wikidata.org/wiki/Q1393,y,
West Nabesna Street,us_ethnic_group,Q12637941,Nabesna,tribe of the Athabasques,1,,1,-,full,https://www.wikidata.org/wiki/Q12637941,y,
North Mountain Lake Avenue,us_lake,Q1950851,Mountain Lake,lake in the United States of America,6,3073,4,-,full,https://www.wikidata.org/wiki/Q1950851,n,very common name
North Coneflower Avenue,plant,Q5304671,coneflower,genus of plants,1,,1,-,full,https://www.wikidata.org/wiki/Q5304671,y,
West Kingston Drive,fish,Q2236628,Kingston,species of fish,20,,2,-,full,https://www.wikidata.org/wiki/Q2236628,q,use nearby streets
East Borzoi Court,dog_breed,Q37866,Borzoi,dog breed,43,,1,-,full,https://www.wikidata.org/wiki/Q37866,y,
North Hunter Creek Avenue,us_river,Q27986956,Hunter Creek,"river in Stevens County, Washington, United States of America",2,541,3,-,full,https://www.wikidata.org/wiki/Q27986956,q,likely coincidental invented
South Triumph Place,idaho_place,Q7844478,Triumph,"human settlement in Idaho, United States of America",4,162,1,grape_variety,full,https://www.wikidata.org/wiki/Q7844478,q,use nearby streets
South Stibnite Avenue,idaho_place,Q122565131,Stibnite,"locality in Valley County, Idaho, United States",0,176,1,-,full,https://www.wikidata.org/wiki/Q122565131,q,use nearby streets. Could be mineral name (which was not included as other domain)
North James Street,grape_variety,Q112256118,James,grape variety,1,,1,-,full,https://www.wikidata.org/wiki/Q112256118,n,very common 
North Porgy Way,fish,Q143503,Porgy,species of fish,39,,14,-,full,https://www.wikidata.org/wiki/Q143503,y,
West Clinton Lane,us_president,Q1124,Bill Clinton,42nd President of the United States (1993–2001),223,,1,grape_variety,surname,https://www.wikidata.org/wiki/Q1124,n,dates back to 1950s or earlier. Actual namesake probably not in wikidata
North Bamboo Avenue,plant,Q311331,bamboo,genus of clumping bamboo species,41,,2,-,full,https://www.wikidata.org/wiki/Q311331,q,could be a same name item
East Clear Creek Drive,us_river,Q5130667,Clear Creek,"tributary of the South Platte River in north central Colorado, United States",6,1020,27,-,full,https://www.wikidata.org/wiki/Q5130667,y,
North Columbine Avenue,plant,Q147641,columbine,genus of plants,64,,2,-,full,https://www.wikidata.org/wiki/Q147641,y,
West Mountain Creek Street,ski_resort,Q6924907,Mountain Creek,"ski resort in New Jersey, United States",2,3404,1,us_river,full,https://www.wikidata.org/wiki/Q6924907,n,invented
East Lost Creek Drive,us_river,Q20712312,Lost Creek,river in United States of America,2,474,11,-,full,https://www.wikidata.org/wiki/Q20712312,q,where in the us is the river? Summary does not mention state
South Canvasback Way,bird,Q378533,Canvasback,species of bird,40,,1,-,full,https://www.wikidata.org/wiki/Q378533,y,
West Athens Court,grape_variety,Q139187092,Athens,hybrid grape cultivar,0,,1,-,full,https://www.wikidata.org/wiki/Q139187092,n,"definitely a city, but nearby streets needed to figure out which"
West Cayuse Lane,horse_breed,Q5055481,Cayuse,term for a small horse,6,,1,-,full,https://www.wikidata.org/wiki/Q5055481,y,
East Echo Court,greek_deity,Q207368,Echo,mountain nymph of Greek mythology,46,,1,-,full,https://www.wikidata.org/wiki/Q207368,q,need proximity
West Daphne Street,greek_deity,Q194015,Daphne,Greek mythological figure,53,,1,plant,full,https://www.wikidata.org/wiki/Q194015,y,
East Washington Avenue,us_state,Q1223,Washington,state of the United States of America,223,559,1,us_president,full,https://www.wikidata.org/wiki/Q1223,y,proximity would not solve this. No other state names or presidents nearby. President probably the default
West Wall Drive,constellation,Q1145933,Wall,one of the Twenty-eight mansions of the Chinese constellations,11,,1,-,full,https://www.wikidata.org/wiki/Q1145933,n,common word
North Alpha Lane,grape_variety,Q25395428,Alpha,grape variety,1,,1,-,full,https://www.wikidata.org/wiki/Q25395428,n,definitely not grape variety. Probably the greek letter
South White Pine Lane,plant,Q1981615,White Pine,species of plant,24,,2,-,full,https://www.wikidata.org/wiki/Q1981615,q,how is it different from same name item?
